날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,9B51C479-931C-47A8-AD8C-B9E0890B5817,회사(구내식당),현대벤디스,,,,방문 제휴식당,,,4,0,3,1,0,4,4,1,18000,3,원,0,0,0,3,18000,18000,0,18000,0,서울특별시,강남구,삼성동,,,
2020-01-01,3BB57D03-49E6-B515-DC91-EE8204978B8E,모두락,애경,,,,방문/전화배달 제휴식당,,,2,0,2,0,0,2,2,1,36000,8,장,0,0,0,8,36000,36000,0,36000,0,서울특별시,강서구,과해동,,,
2020-01-01,73DDCA13-DD39-4767-8A5C-29E5144DC712,인천공항시설관리(x),공항,,,,방문 제휴식당,,,2,0,0,2,0,2,2,1,0,0,원,0,0,0,0,0,0,0,0,0,인천광역시,중구,운서동,,,
2020-01-01,AF394E70-B719-9080-E4A0-894B55E1A512,인스터,미설정(기본그룹),,,,전화배달 제휴식당,,,1,0,1,0,0,1,1,1,53000,53000,원,0,0,0,53000,53000,51410,1590,53000,0,서울특별시,강남구,논현동,,,
2020-01-01,A8846356-E126-4B3F-9462-ED071D0E6851,아시아나에어포트,공항,,,,방문/전화배달 제휴식당,,,808,847,1655,0,0,1655,1019,587,16317500,3175,장,0,0,0,3175,16317500,16317500,0,16317500,0,인천광역시,중구,운서동,,,
2020-01-01,59EB9D1C-F816-427A-96F3-6F8B163EEC5A,순천시청,공공기관,,,,방문 제휴식당,,,1355,0,1355,0,0,1355,1355,398,11837500,11837500,원,0,0,0,11837500,11837500,11837500,0,11837500,0,전라남도,순천시,장천동,,,
2020-01-01,E7C13AD0-8C4B-3472-76D9-19E2CD8CA1A4,진에어본사_마곡,진에어,,,,방문 제휴식당,,,4696,0,4667,9,20,4696,4696,536,25789500,4689,장,0,0,0,4689,25789500,25789500,0,25789500,0,서울특별시,강서구,마곡동,,,
2020-01-01,E7466888-E317-45DC-A961-32EEA160F1D8,씨제이이엔엠(동대문),CJ,,,,방문 제휴식당,,,1779,0,1777,1,1,1779,1779,373,15840980,15840980,원,0,0,0,15840980,15840980,15468499,372481,15840980,0,서울특별시,중구,쌍림동,,,
2020-01-01,4BBD183F-0843-5EB8-3443-6DD440EC4E23,아시아나항공,해지,,,,구내식당,,,11725,0,11725,0,0,11725,11725,1824,52654090,11725,장,0,0,0,11725,52654090,52654090,0,52654090,0,서울특별시,강서구,오쇠동,,,
2020-01-01,A3609864-3C02-4E6C-87E9-9834FFE62AC2,인천국제공항공사,공항,,,,방문 제휴식당,,,1469,0,1469,0,0,1469,1469,396,6610500,1469,원,0,0,0,1469,6610500,6610500,0,6610500,0,인천광역시,중구,운서동,,,
